Name,Team,PA,AB,H,HR,R,BB,HBP,OBP,SLG
Nolan Arenado,ARI,29.24,26.3759,6.5805,1.0535,3.3143,2.307,0.2924,0.31464,0.42093
Jackson Holliday,BAL,29.8115,26.2211,6.229,0.7321,3.3883,3.002,0.2385,0.319175,0.375076
George Lombard Jr.,NYY,30.7704,27.1089,6.0729,0.6614,3.0765,2.994,0.3692,0.307546,0.356329
Sal Stewart,CIN,32.8329,29.4332,7.771,1.4776,4.2559,2.8368,0.2627,0.331764,0.46562
Brett Bateman,TOR,32.1676,28.1313,7.1091,0.3042,3.7497,3.4098,0.2252,0.336161,0.335971
Bryson Stott,PHI,25.487,22.6521,5.767,0.5428,2.8594,2.3958,0.1784,0.328355,0.389514
Ozzie Albies,ATL,31.4885,28.5058,7.257,0.993,3.6438,2.3711,0.3149,0.316569,0.415705
A.J. Ewing,NYM,28.5609,25.5021,6.5622,0.5104,3.2807,2.5419,0.1999,0.32707,0.377573
Garrett Mitchell,MIL,23.0413,20.0655,4.9168,0.6098,2.6191,2.4816,0.2535,0.333206,0.401809
Ezequiel Duran,TEX,28.2288,25.8586,6.5103,0.7533,3.0957,1.7699,0.3105,0.305199,0.402574
Daulton Varsho,HOU,29.0016,26.1659,5.965,1.1101,3.2954,2.3259,0.232,0.294618,0.414799
Jazz Chisholm Jr.,NYY,17.5865,15.4897,3.6338,0.7548,2.1816,1.7815,0.1407,0.316803,0.426496
Colt Keith,DET,27.7325,24.8192,6.4586,0.8116,3.247,2.4238,0.2219,0.329111,0.42113
Shohei Ohtani,LAD,14.8237,12.4201,3.3752,0.875,2.5427,2.1005,0.1186,0.379818,0.548063
Evan Carter,TEX,22.7479,19.8276,4.4656,0.6087,2.5091,2.3567,0.3185,0.315074,0.37701
Dominic Canzone,SEA,27.2159,24.519,6.123,1.1494,3.2858,2.2235,0.2177,0.315363,0.445467
Zack Gelof,ATH,29.0599,26.0728,6.2403,1.1697,3.4471,2.4323,0.2615,0.308278,0.427142
Kody Clemens,MIN,26.1964,23.8137,5.5469,1.1298,3.0731,1.8626,0.2882,0.294314,0.437609
Kyle Karros,COL,27.2005,23.8795,6.3514,0.6874,3.1222,2.7119,0.3264,0.346373,0.419603
Jake Bauers,MIL,27.3311,22.9019,5.3339,1.1496,3.4564,3.9357,0.246,0.348761,0.431776
Jacob Young,WSN,25.5623,23.0216,5.8234,0.409,2.7215,1.8482,0.3834,0.316626,0.363281
Austin Riley,ATL,29.443,26.3901,6.3895,1.1112,3.411,2.3348,0.3828,0.310551,0.421003
Javier Sanoja,MIA,27.088,25.0455,6.8235,0.5247,2.9515,1.6063,0.1354,0.317352,0.414326
Chandler Simpson,TBR,30.5953,28.61,8.4499,0.1019,3.2622,1.5757,0.0918,0.331713,0.363439
George Springer,TOR,28.5632,25.1484,6.4344,1.0851,3.6585,2.8563,0.2856,0.336296,0.43765
Dylan Beavers,BAL,26.8646,23.3499,5.6622,0.802,3.2713,3.0223,0.1881,0.331831,0.400554
Vinnie Pasquantino,KCR,31.0254,27.4389,7.063,1.2091,3.8065,3.0281,0.2792,0.33473,0.449009
Iván Herrera,STL,30.8386,26.3876,6.8947,0.8813,3.9523,3.2812,0.8326,0.358422,0.411633
Leo Bernal,STL,24.0197,21.841,5.379,0.7019,2.5609,1.7967,0.1441,0.305385,0.394103
Jung Hoo Lee,SFG,31.0849,28.3903,7.8095,0.573,3.3055,2.0609,0.3419,0.329333,0.410802
Ernie Clement,TOR,28.0879,26.3607,7.1295,0.504,2.8952,1.2078,0.1966,0.305142,0.390684
Samuel Basallo,BAL,24.5196,22.0974,5.2681,1.1829,2.916,1.937,0.2452,0.304528,0.445912
Joey Ortiz,MIL,20.4122,18.3874,4.6292,0.4494,2.22,1.6452,0.1429,0.315769,0.38962
Nathan Lukes,TOR,27.3825,24.8889,6.7443,0.6155,3.0839,1.9442,0.2464,0.327574,0.401569
Luis Torrens,NYM,13.6872,12.4543,2.9648,0.4108,1.4951,0.9102,0.1506,0.295633,0.38944
Marcus Semien,NYM,27.4819,24.5372,5.7479,0.8551,2.9983,2.4734,0.1924,0.307169,0.384302
Cedric Mullins,TBR,26.148,23.1905,5.2263,0.7767,2.9201,2.403,0.2615,0.302977,0.381635
Emmanuel Rodriguez,MIN,25.4256,21.5996,4.8311,0.7774,2.7657,3.2799,0.3051,0.331935,0.387266
Ian Happ,CHC,29.5995,25.16,5.7965,1.0368,3.5932,3.8805,0.2664,0.33679,0.409519
Yainer Diaz,HOU,16.7396,15.726,4.252,0.6182,1.9048,0.7047,0.1339,0.305029,0.441485
Daylen Lile,WSN,31.1626,28.4714,7.4823,0.9215,3.7044,2.038,0.3428,0.317492,0.438387
Bryce Eldridge,SFG,32.6123,28.5657,7.0571,1.2819,3.9194,3.5221,0.1957,0.331421,0.433754
Tristan Peters,CHW,21.0233,18.8128,4.6134,0.4968,2.2017,1.7239,0.2523,0.3147,0.388937
Ty France,SDP,31.3338,27.9243,7.2825,0.9604,3.52,2.1714,0.9713,0.333282,0.416182
Hunter Goodman,COL,26.9832,24.5982,6.0065,1.5326,3.5097,1.8915,0.2698,0.303115,0.488633
Richie Palacios,TBR,22.1056,19.177,4.5313,0.4719,2.4115,2.4338,0.2432,0.327422,0.366794
Cooper Pratt,MIL,22.9194,20.3405,4.8724,0.4438,2.5049,2.0536,0.2292,0.313875,0.361776
Heliot Ramos,NYY,32.2856,28.984,7.1531,1.2419,3.8538,2.5506,0.452,0.315316,0.426832
Cole Carrigg,COL,31.5315,28.6628,7.3645,0.8459,3.7354,2.2104,0.3468,0.315421,0.417649
Nick Gonzales,PIT,29.2076,26.5859,7.3456,0.4536,3.1101,1.9043,0.4381,0.332503,0.395465
Michael Massey,KCR,23.6946,22.1054,5.7484,0.7151,2.5311,1.1681,0.1659,0.299938,0.416306
Colton Cowser,BAL,21.0802,18.4682,4.1588,0.7823,2.3691,2.1417,0.2319,0.311151,0.396574
Francisco Alvarez,NYM,19.8868,17.5167,4.0144,0.8948,2.3666,1.8912,0.2386,0.310391,0.425337
JJ Bleday,CIN,29.0725,25.0474,5.7378,1.1988,3.53,3.5759,0.1744,0.327073,0.428715
Lawrence Butler,ATH,29.3272,26.0002,6.2481,1.1385,3.5051,2.9269,0.1173,0.31776,0.424693
Angel Genao,CLE,19.3613,17.4799,4.5588,0.3854,1.9978,1.5431,0.1355,0.323277,0.387891
Jarren Duran,BOS,29.5274,26.5729,6.3605,0.8191,3.4455,2.2648,0.3543,0.305478,0.412187
Royce Lewis,MIN,28.6268,25.9566,6.3135,1.1263,3.2718,2.21,0.1718,0.304625,0.427517
Christian Encarnacion-Strand,BAL,27.3094,25.4279,6.1185,1.2176,3.0525,1.2672,0.355,0.284184,0.439816
Jake Burger,TEX,30.3368,27.4844,6.5744,1.4082,3.5643,2.1448,0.3944,0.301353,0.43974
Bryan Reynolds,PIT,32.8208,28.6886,7.3164,0.9829,3.9039,3.4232,0.4267,0.340658,0.418933
Ryan McMahon,NYY,24.026,20.9567,4.4926,0.8049,2.5867,2.6284,0.1682,0.304589,0.373833
J.T. Realmuto,PHI,23.723,21.3839,5.1276,0.6611,2.5294,1.6606,0.4033,0.304424,0.386492
Carson Kelly,CHC,15.6613,13.7826,3.3696,0.4696,1.7536,1.5051,0.1879,0.32469,0.390754
Victor Mesa Jr.,TBR,25.1795,22.8529,5.5906,0.9251,2.877,1.9313,0.1511,0.305602,0.425806
Jordan Walker,STL,31.9021,28.9283,7.3572,1.1709,3.7455,2.4182,0.2871,0.315935,0.430803
Jake McCarthy,COL,31.5607,28.7085,7.88,0.6995,4.177,1.9631,0.505,0.329819,0.424766
Jake Cronenworth,SDP,29.1544,25.2076,5.7988,0.6068,3.1435,3.0466,0.5539,0.323864,0.355988
Coby Mayo,BAL,22.3239,19.9718,4.6885,1.0746,2.712,1.8953,0.2456,0.306683,0.454616
Henry Davis,PIT,15.9087,14.034,3.1142,0.5308,1.7846,1.3872,0.2864,0.302527,0.380882
Jo Adell,CLE,29.7782,27.1172,6.4762,1.3482,3.4751,1.8314,0.5658,0.298565,0.438238
Matt McLain,CIN,28.8306,25.3194,5.5785,0.8878,3.2152,2.8139,0.346,0.304561,0.37369
Wade Meckler,LAA,27.8959,24.6695,6.474,0.377,2.8059,2.7617,0.1953,0.338915,0.361231
Lars Nootbaar,ARI,25.6819,21.8224,5.4327,0.7414,3.3125,3.4106,0.1541,0.352023,0.410844
Christian Walker,HOU,30.9364,27.5544,6.311,1.3498,3.5758,2.6358,0.464,0.304861,0.423537
Shea Langeliers,ATH,26.4457,23.8343,6.0647,1.4506,3.4809,2.1315,0.238,0.319568,0.489509
