Name,Team,PA,AB,H,HR,R,BB,HBP,OBP,SLG
Nathan Martorella,,530,476,96,12,51,46,4,0.275472,0.321429
T.J. White,WSN,472,435,91,11,35,31,3,0.26483,0.331034
Elvis Rijo,,163,144,22,0,8,7,8,0.23125,0.194444
Juan Guerrero,,476,441,112,4,52,24,3,0.293869,0.333333
Darlyn Montero,,295,275,57,4,27,12,5,0.251701,0.290909
Tyler Miller,,374,346,72,7,35,20,3,0.254692,0.320809
Jean Perez,,269,250,53,3,26,6,4,0.241379,0.284
Tayden Hall,MIL,377,325,57,3,33,44,5,0.281167,0.246154
Yerlin Confidan,CIN,466,428,88,6,44,33,3,0.266667,0.308411
Luis Encarnacion,,348,329,67,8,28,15,2,0.241379,0.31307
Joel Dragoo,PHI,300,268,46,0,18,26,3,0.251678,0.227612
Nick Roselli,,362,326,60,8,35,24,6,0.252809,0.309816
Jack Costello,SDP,426,394,77,10,38,18,13,0.253521,0.312183
Anthony Servideo,,376,337,54,3,30,32,2,0.237197,0.231454
Ariel Almonte,,453,418,77,14,42,31,2,0.242826,0.332536
Rafael Morel,,409,368,66,4,44,32,6,0.254902,0.244565
Gunner Gouldsmith,ATH,321,285,43,0,32,29,4,0.2375,0.192982
Ruben Santana,,488,443,87,6,43,35,7,0.264344,0.284424
Brandon Eike,SEA,397,371,66,6,28,18,6,0.2267,0.277628
Myles Smith,,292,254,43,3,26,27,6,0.263889,0.224409
Juan Baez,MIL,472,433,84,0,39,32,4,0.254237,0.226328
Armando Cruz,,385,352,68,2,30,13,2,0.224932,0.247159
Randy De Jesus,LAA,517,474,93,17,48,32,8,0.257752,0.341772
Jesus Castillo,PIT,422,380,76,1,39,30,7,0.26969,0.236842
Albert Feliz,,284,264,47,9,20,16,2,0.228873,0.310606
Bryson Horne,,344,323,64,7,26,17,2,0.241279,0.303406
Yiddi Cappe,,395,373,84,6,41,19,1,0.263291,0.316354
Bryan Gonzalez,,378,352,77,4,37,20,2,0.264,0.321023
Mac McCroskey,LAA,310,278,48,1,25,21,2,0.235099,0.223022
Aneudis Mordán,,244,213,42,4,21,14,2,0.252174,0.295775
Peyton Powell,,318,284,55,1,28,30,1,0.272152,0.232394
Jace Grady,,316,287,52,3,25,24,2,0.246835,0.254355
Jesus Bugarin,,345,331,77,4,34,9,2,0.255814,0.314199
Jheremy Vargas,MIL,373,344,69,2,30,25,3,0.260054,0.244186
Luiyin Alastre,MIL,379,353,73,2,33,20,4,0.255937,0.263456
Tyler Whitaker,HOU,402,357,64,4,33,33,8,0.261194,0.263305
Ed Howard,CHC,321,299,54,1,25,17,2,0.22884,0.227425
Benny Montgomery,,426,393,88,6,43,28,3,0.28,0.310433
Fraymi De Leon,,330,302,54,1,35,19,5,0.237082,0.228477
Roismar Quintana,,325,303,65,3,27,16,3,0.259259,0.283828
Yeison Morrobel,TEX,404,376,69,7,29,23,4,0.237624,0.284574
Jaime Ferrer,MIN,384,347,69,4,32,16,14,0.259162,0.305476
John Rhodes,,442,400,75,7,38,36,5,0.262443,0.2825
Brock Vradenburg,,402,357,64,6,36,41,1,0.263682,0.280112
Caleb Hobson,COL,367,312,52,1,45,39,5,0.268908,0.233974
Jackson Nicklaus,,324,288,45,7,34,33,2,0.246914,0.267361
Dario Laverde,LAA,432,400,84,5,35,23,6,0.262791,0.2925
Bubba Alleyne,,330,306,54,4,30,17,4,0.227964,0.261438
Daniel Guilarte,MIL,428,389,67,2,41,33,2,0.238876,0.226221
Colin Summerhill,,452,408,74,6,37,36,3,0.25167,0.276961
Noelberth Romero,BAL,329,308,57,5,25,12,3,0.220859,0.269481
C.J. Pittaro,ATH,507,462,93,1,39,36,8,0.270217,0.257576
