Name,Team,GS,G,IP,HR,SO,BB,HR/9,WHIP,ERA
R.J. Gordon,NYM,18,23,111.3,14,93,38,1.13208,1.30279,4.5283
Jaron DeBerry,MIL,19,22,101,13,85,30,1.15842,1.24752,4.27723
Keider Montero,DET,20,27,116.7,15,94,38,1.15681,1.29392,4.31877
Joe Rock,ATH,16,28,104,12,86,34,1.03846,1.29808,4.06731
Will Dion,WSN,16,26,96.3,11,79,31,1.02804,1.30841,3.92523
J.T. Ginn,ATH,19,23,99.3,13,96,36,1.17825,1.29909,4.35045
Sean Burke,CHW,20,25,117,17,113,49,1.30769,1.35043,4.46154
Joander Suarez,NYM,18,22,97.3,12,77,26,1.10997,1.27441,4.34738
Khal Stephen,CLE,22,23,103.3,14,85,30,1.21975,1.25847,4.09487
Slade Cecconi,CLE,21,25,119.7,18,102,29,1.35338,1.21136,4.13534
Tink Hence,STL,26,26,91.7,10,84,37,0.981461,1.30862,4.12214
Daniel Espino,CLE,21,21,88.7,11,98,43,1.11612,1.35287,3.95716
Tanner McDougal,CHW,26,26,103.3,12,90,43,1.0455,1.37464,4.61762
Joe Musgrove,SDP,17,17,96.7,12,83,26,1.11686,1.25129,4.00207
DJ Herz,WSN,23,23,96,10,95,47,0.9375,1.375,4.21875
Drew Rom,ATH,19,20,91,11,88,33,1.08791,1.25275,3.95604
Carlos Lagrange,NYY,21,22,106,13,107,50,1.10377,1.31132,4.5
Jose Corniell,TEX,30,31,85.3,11,80,25,1.16061,1.16061,4.2204
Yusei Kikuchi,LAA,24,25,126.3,20,124,52,1.42518,1.47268,4.63183
Mason Montgomery,PIT,11,45,82,8,88,32,0.878049,1.26829,3.62195
Tobias Myers,NYM,19,27,104.3,13,86,33,1.12176,1.30393,4.31448
Grant Taylor,CHW,8,48,59,5,62,19,0.762712,1.20339,3.50847
Zach Eflin,BAL,20,20,108.3,17,83,21,1.41274,1.24654,4.23823
Nestor German,BAL,21,23,104.7,15,91,34,1.2894,1.2703,4.46991
Jon Gray,,17,19,88.7,12,74,30,1.21759,1.3416,4.76888
Santiago Suarez,TBR,22,22,102.7,15,76,27,1.31451,1.26582,4.46933
Tyler Stuart,WSN,20,20,93,10,72,33,0.967742,1.36559,4.35484
Luis Perales,WSN,24,24,80.3,8,83,37,0.896638,1.3325,4.14695
Henry Baez,ATH,24,24,107,12,77,36,1.00935,1.31776,4.28972
Brandon Walter,HOU,13,19,83.3,10,65,19,1.08043,1.21248,3.9976
