Name,Team,GS,G,IP,HR,SO,BB,HR/9,WHIP,ERA
Aroldis Chapman,BOS,0,26.0247,26.0247,2.48102,35.2623,12.35,0.858,1.22443,3.15707
Jack Perkins,ATH,6.6,17.1926,45.9893,6.40273,45.6084,21.3527,1.253,1.41478,4.55907
Tomoyuki Sugano,COL,10.24,10.24,56.3889,10.3818,34.6109,14.5276,1.657,1.50261,5.67551
Louis Varland,TOR,0,27.2963,27.2963,2.81152,30.4437,7.6141,0.927,1.14988,3.19298
Tanner Scott,LAD,0,25.679,25.679,2.8789,31.3438,9.9535,1.009,1.19138,3.27948
Kodai Senga,NYM,4.55,15.3833,34.7884,4.31763,36.3616,16.0873,1.117,1.35719,4.02492
Josh Hader,HOU,0,25.284,25.284,3.16331,35.2382,10.5597,1.126,1.13631,3.26786
Trevor Megill,MIL,0,26.0741,26.0741,2.99562,33.0495,9.5256,1.034,1.14714,3.35147
Garrett Whitlock,BOS,0,27.284,27.284,2.96183,30.2465,8.2484,0.977,1.18778,3.48052
Jeff Hoffman,TOR,0,25.6667,25.6667,2.85471,32.4854,9.5477,1.001,1.16546,3.32843
Spencer Miles,TOR,3.3,24.4852,38.9764,4.38268,36.2679,14.6254,1.012,1.34356,3.96131
Brandon Woodruff,MIL,3.3,3.3,18.1474,2.76244,19.409,5.1073,1.37,1.16526,3.86198
Kade Anderson,SEA,2.6,5.8099,18.0299,2.10149,20.4612,5.0353,1.049,1.12034,3.2143
David Bednar,NYY,0,26.8889,26.8889,2.96973,31.9337,9.5245,0.994,1.1611,3.26072
Adrian Houser,SFG,6.6,15.9704,45.0486,5.03543,32.4348,15.748,1.006,1.40016,4.3088
Luis Severino,ATH,5.94,5.94,33.056,4.83719,28.6572,12.2809,1.317,1.39524,4.63686
José Alvarado,PHI,0,24.4753,24.4753,2.43937,29.1367,10.1512,0.897,1.22621,3.27641
Michael Grove,TBR,1.36,19.4094,25.5449,3.16757,26.6195,8.4612,1.116,1.23192,3.76085
Martín Pérez,ATL,7.37,7.37,39.8637,5.31516,31.8217,16.2006,1.2,1.46093,4.56625
Edwin Díaz,LAD,0,19.2593,19.2593,1.94091,26.4559,7.7139,0.907,1.12732,3.13422
Rhett Lowder,CIN,4.69,13.7888,34.1583,4.85048,28.8987,13.1304,1.278,1.40429,4.54772
Shane Smith,CHW,6.03,6.03,31.436,4.19496,29.1293,13.5422,1.201,1.38088,4.38543
Logan Allen,CLE,4.55,16.587,36.8567,4.9388,33.0484,13.4387,1.206,1.36109,4.16598
Garrett Cleavinger,TBR,0,26.8642,26.8642,2.94312,34.0235,11.5215,0.986,1.21398,3.36968
Chad Patrick,MIL,2.64,26.2696,37.7216,5.75045,36.7123,12.3556,1.372,1.24292,4.02575
Andrés Muñoz,SEA,0,24.8765,24.8765,2.15873,32.6297,10.6169,0.781,1.1709,2.92693
Dylan Lee,ATL,0,26.4691,26.4691,3.33217,31.103,7.792,1.133,1.1381,3.33266
Jake Irvin,WSN,6.5,10.5123,39.1631,5.98325,32.9587,13.4011,1.375,1.35763,4.54065
Brock Stewart,LAD,0,24.0741,24.0741,2.88622,28.8878,10.0226,1.079,1.22855,3.5511
Joe Boyle,TBR,4.08,11.6356,29.2257,3.21158,31.8377,16.6933,0.989,1.42844,4.11895
Devin Williams,NYM,0,25.679,25.679,2.41668,32.4771,12.3332,0.847,1.24038,3.26026
Evan Phillips,LAD,0,24.8765,24.8765,3.00176,27.5426,8.6109,1.086,1.21612,3.59764
Abner Uribe,MIL,0,27.2963,27.2963,2.48396,31.5347,12.8555,0.819,1.28841,3.27698
Andrew Painter,PHI,7.8,11.0099,44.4027,7.13403,33.6375,17.2449,1.446,1.42848,4.83292
Bryan Baker,TBR,0,27.7037,27.7037,3.3583,31.4248,10.4272,1.091,1.22214,3.61808
Zach Thornton,NYM,5.85,5.85,33.4045,4.5393,26.8346,11.8109,1.223,1.3456,4.19903
Didier Fuentes,ATL,0.67,25.4848,28.4124,3.56102,30.3729,9.6819,1.128,1.23043,3.78216
Hunter Dobbins,STL,6.03,22.5732,49.1607,6.35265,36.3268,16.3961,1.163,1.37396,4.32668
Miles Mikolas,WSN,9.1,9.1,48.5747,8.43581,30.4874,11.9232,1.563,1.38806,4.97211
Pete Fairbanks,MIA,0,24.4753,24.4753,2.78746,27.3382,9.2823,1.025,1.23094,3.6135
Aaron Ashby,MIL,0,27.7037,27.7037,2.39483,31.7338,13.4333,0.778,1.31296,3.30809
Chris Bassitt,BAL,5.85,5.85,31.855,4.39953,26.4395,11.778,1.243,1.39841,4.5784
Raisel Iglesias,ATL,0,27.2963,27.2963,3.39081,30.1053,8.1367,1.118,1.18223,3.58313
Alex Vesia,LAD,0,25.2778,25.2778,3.43216,32.2998,12.0978,1.222,1.24365,3.61055
Fernando Cruz,NYY,0,26.4815,26.4815,3.13364,34.6605,12.9231,1.065,1.24067,3.46888
Mason Englert,TBR,4.76,15.6736,37.3286,5.72787,30.8924,11.6749,1.381,1.33712,4.52185
Hurston Waldrep,ATL,4.69,12.9616,34.2836,3.72168,30.6608,16.7004,0.977,1.46357,4.28192
Tyler Phillips,MIA,9.1,15.5198,54.1293,6.83232,37.3026,22.6075,1.136,1.50299,4.76879
Jeremiah Estrada,SDP,0,19.5556,19.5556,2.25976,25.2445,8.8307,1.04,1.21722,3.40163
Orion Kerkering,PHI,0,25.2778,25.2778,2.76932,27.8422,10.6974,0.986,1.26788,3.6182
Gregory Soto,PIT,0,26.4815,26.4815,2.53045,29.5015,11.6046,0.86,1.29226,3.56001
Ryan Gusto,MIA,3.25,18.4969,31.8418,4.43662,27.7671,10.9045,1.254,1.32502,4.30427
Spencer Strider,ATL,2.68,2.68,14.6942,2.0278,17.4072,5.8973,1.242,1.25495,3.92227
Jacob Latz,TEX,0,27.7037,27.7037,3.30597,30.0519,12.1371,1.074,1.28406,3.6311
Gabriel Hughes,COL,1.92,20.883,29.9344,3.95799,25.5997,9.7528,1.19,1.4104,4.58671
Bryan Abreu,HOU,0,24.0988,24.0988,2.58928,31.3965,11.8714,0.967,1.25264,3.47394
Keider Montero,DET,3.3,21.6333,36.7345,5.16732,30.4651,11.2754,1.266,1.3145,4.26157
Mike Burrows,HOU,5.76,10.8958,36.228,5.90919,32.9495,12.9357,1.468,1.35709,4.6137
Julian Garcia,CIN,0,22.3333,22.3333,2.80407,26.1871,8.9771,1.13,1.24977,3.71348
JP Sears,SDP,6.6,13.1185,42.278,7.3,35.3009,13.5265,1.554,1.33564,4.67924
Jordan Montgomery,TEX,3.3,9.0037,24.1589,3.19434,19.0478,7.2186,1.19,1.32009,4.17184
Colin Rea,CHC,5.94,10.8289,37.1124,5.64108,28.6589,12.39,1.368,1.39391,4.69355
Sam Hentges,SFG,0,23.6296,23.6296,2.05315,24.5437,10.6154,0.782,1.32001,3.47989
Steven Matz,TBR,1.36,19.8291,25.6329,3.40063,22.9531,7.1428,1.194,1.24423,3.95248
Justin Slaten,BOS,0,26.8642,26.8642,3.12222,27.9058,8.99,1.046,1.25818,3.79988
Alan Rangel,PHI,4.55,10.9698,31.5139,5.4484,25.7683,11.2888,1.556,1.36305,4.71896
Keaton Winn,SFG,0.66,25.1044,28.1041,2.79792,25.2026,9.3581,0.896,1.28454,3.69802
Robert Suarez,ATL,0,20.679,20.679,2.34592,21.8587,6.594,1.021,1.21314,3.53527
David Festa,MIN,1.95,7.5673,16.2016,2.0252,16.6475,5.782,1.125,1.26785,3.89718
Mason Montgomery,PIT,0,25.679,25.679,2.77904,29.2526,11.0394,0.974,1.26523,3.56154
Sean Newcomb,CHW,0,26.4691,26.4691,2.80867,26.6841,10.5914,0.955,1.29219,3.59679
Jonathan Bowlan,PHI,0,23.2716,23.2716,2.70726,23.3894,7.5024,1.047,1.22219,3.56015
Luke Weaver,NYM,0,26.8827,26.8827,3.51865,29.3346,8.9541,1.178,1.20477,3.59623
Seranthony Domínguez,CHW,0,25.642,25.642,2.99442,29.5291,12.8308,1.051,1.32537,3.81928
Cody Bradford,TEX,2.64,16.8993,29.1514,4.61888,25.799,7.8349,1.426,1.25464,4.24072
Kevin Ginkel,ARI,0,25.2593,25.2593,2.56803,26.294,9.3714,0.915,1.29921,3.80733
Justin Martinez,ARI,0,13.8519,13.8519,0.948086,17.3954,7.5787,0.616,1.3365,3.21309
Corbin Burnes,ARI,1.98,1.98,11.5614,1.21266,11.3376,3.8374,0.944,1.30149,3.93766
Ryne Nelson,ARI,3.96,3.96,22.0877,3.17817,17.4953,6.5886,1.295,1.36333,4.61166
Jovani Morán,BOS,0,23.9259,23.9259,2.53349,27.2605,10.8646,0.953,1.30921,3.65196
Luinder Avila,KCR,8.45,13.2648,49.2009,6.05171,39.5959,25.4164,1.107,1.55911,4.87896
Jacob Lopez,ATH,3.3,17.1519,30.7835,4.70988,29.6817,13.4638,1.377,1.3948,4.59545
Cam Booser,TBR,0,24.3457,24.3457,3.25691,27.2214,10.1212,1.204,1.27457,3.79377
Mitch Bratt,ARI,1.98,8.9059,17.7259,2.31618,15.2813,5.1202,1.176,1.29861,4.15735
Randy Vásquez,SDP,8.58,12.6541,49.698,7.94616,34.7322,18.614,1.439,1.44906,5.01242
Andrew Morris,MIN,0,25.679,25.679,2.97876,23.5774,6.9469,1.044,1.23255,3.73469
Patrick Corbin,TOR,3.3,18.7815,32.8518,4.94602,27.9912,9.4872,1.355,1.31485,4.33621
A.J. Minter,NYM,0,23.2716,23.2716,2.75122,24.7475,7.837,1.064,1.20291,3.49993
Riley O'Brien,STL,0,26.8827,26.8827,2.37165,27.3325,11.3512,0.794,1.3269,3.56521
Eduardo Rivera,BOS,1.36,20.6686,26.9289,2.77667,25.005,13.452,0.928,1.44184,4.06078
José A. Ferrer,SEA,0,26.4815,26.4815,2.39805,24.708,8.172,0.815,1.22266,3.24042
Justin Steele,CHC,0.66,7.9933,11.0889,1.15201,11.6163,2.9034,0.935,1.15106,3.26103
Hunter Barco,PIT,1.95,10.7772,19.9422,2.29114,17.7321,8.9195,1.034,1.41191,4.1845
